year,month,day,u1,u2,u3,u4
1991,7,5,0.00147,0.38204,0.24979,0.32483
1991,8,6,-2.47587,0.26837,-0.50667,0.01525
1991,8,21,1.64593,-1.09814,0.67701,0.05626
1991,9,13,-0.70099,0.4518,-0.67192,0.06377
1991,10,2,-0.14147,0.08983,-0.2175,-0.06564
1991,10,30,-0.40028,0.06829,0.02647,-0.15342
1991,11,6,-1.33734,-0.21501,-0.01386,-1.24456
1991,12,6,0.00077,0.11632,0.07333,0.1991
1991,12,18,0.63501,-0.35902,-0.16317,0.04696
1991,12,20,-4.89127,0.78552,0.76932,-2.83055
1992,2,6,0.16761,-0.17781,-0.04232,0.01881
1992,4,1,0.13701,0.05059,0.10359,-0.23371
1992,4,9,-2.86726,-0.65817,1.44411,-1.00326
1992,5,20,0.00483,0.14798,-0.91621,0.21333
1992,7,2,-1.13382,0.92936,-0.21586,0.50609
1992,8,19,0.34281,-0.26565,0.09314,-0.01983
1992,9,4,-0.00185,0.01607,0.41751,-0.08813
1992,10,7,0.00181,0.36539,-0.13036,-0.03249
1992,11,18,-0.66183,0.18269,-0.45642,0.62808
1992,12,23,0.51395,-0.27536,0.09196,-0.26654
1993,2,4,-0.00021,0.07555,0.05221,-0.09635
1993,3,24,0.00117,0.16687,-0.15163,-0.02204
1993,5,19,-0.34324,-0.1386,-0.31336,0.10212
1993,7,8,0.35743,-0.54902,0.22152,0.35772
1993,8,18,0.00054,0.23528,0.04751,-0.05682
1993,9,22,0.00033,0.0626,0.03113,0.06916
1993,11,17,0.30646,-0.37017,-0.13215,-0.07917
1993,12,22,2e-05,-0.01802,0.00242,0.03195
1994,2,4,2.18264,0.83027,-0.06982,0.77961
1994,3,22,-0.00306,-1.21559,-0.78727,-0.4497
1994,4,18,2.00106,0.44694,0.05594,0.09461
1994,5,17,1.46551,-2.76998,-0.60705,-0.62797
1994,7,6,-0.65924,0.73121,0.13935,-0.14417
1994,8,16,1.65193,-1.56771,-1.14778,0.29801
1994,9,27,-1.19724,1.10768,0.37353,-0.16984
1994,11,15,1.59622,-0.45067,-0.31026,-0.84964
1994,12,20,-2.99315,1.87321,-0.8336,0.40655
1995,2,1,0.83354,0.40719,-0.21601,0.5722
1995,3,28,-0.13257,0.42162,0.20419,-0.03515
1995,5,23,-3e-05,0.03325,0.05793,-0.02154
1995,7,6,-1.49985,-1.80897,-0.40724,-2.33937
1995,8,22,0.46009,0.32944,0.18091,0.21899
1995,9,26,0.40163,0.45237,0.24578,0.29632
1995,11,15,0.53391,0.05811,0.03784,0.28332
1995,12,19,-1.20109,0.34993,-0.35391,0.36944
1996,1,31,-0.40183,-0.07582,0.17658,-0.28805
1996,3,26,0.13505,-0.21136,-0.26435,0.50284
1996,5,21,0.0008,0.39503,0.04428,-0.13347
1996,7,3,-0.9578,0.21818,-0.15259,-0.01309
1996,8,20,-0.37364,0.5541,0.00851,-0.00722
1996,9,24,-1.60374,0.13061,0.39665,-1.09686
1996,11,13,-0.23349,-0.35817,-0.59036,0.25747
1996,12,17,0.14718,0.05298,0.09367,-0.06298
1997,2,5,-0.485,0.8834,0.20624,-0.27574
1997,3,25,0.53673,1.247,0.27374,-0.02312
1997,5,20,-1.31255,-0.01452,-0.11594,0.59377
1997,7,2,-0.28274,-0.07206,-0.37008,0.33376
1997,8,19,-0.00012,0.57416,0.13659,-0.53723
1997,9,30,-0.00128,0.21658,0.24314,-0.37619
1997,11,12,-0.55616,0.4667,-0.33412,-1.31594
1997,12,16,-0.00187,-0.00427,0.15265,-0.40877
1998,2,4,0.00181,0.49322,-0.20984,-0.2967
1998,3,31,-0.13234,0.16612,-0.02915,0.06109
1998,5,19,-0.34511,0.13803,-0.00457,-0.41405
1998,7,1,-0.06851,-0.01951,0.04101,0.16271
1998,8,18,0.15779,-0.28444,0.17865,0.18996
1998,9,29,0.66609,0.37824,-0.39042,-1.07185
1998,10,15,-3.23923,-2.87461,-0.00663,-0.13922
1998,11,17,-0.91881,-0.33354,-0.3115,1.27689
1998,12,22,0.00035,0.16887,-0.04545,-0.15682
1999,2,3,0.07452,0.10403,0.50465,0.48323
1999,3,30,-0.13695,0.02495,0.38061,-0.74262
1999,5,18,-0.15034,3.15164,0.52541,-0.43541
1999,6,30,-0.40769,-2.66645,0.13865,0.94594
